897.0;[0.0, 10000.0[;[0.0, 25000.0[;*
897.75;[0.0, 10000.0[;[0.0, 25000.0[;*
900.0;[0.0, 10000.0[;[0.0, 25000.0[;*
901.19;[0.0, 10000.0[;[0.0, 25000.0[;*
902.0;[0.0, 10000.0[;[0.0, 25000.0[;*
902.22;[0.0, 10000.0[;[0.0, 25000.0[;*
904.0;[0.0, 10000.0[;[0.0, 25000.0[;*
905.0;[0.0, 10000.0[;[0.0, 25000.0[;*
905.5;[0.0, 10000.0[;[0.0, 25000.0[;*
906.0;[0.0, 10000.0[;[0.0, 25000.0[;*
907.0;[0.0, 10000.0[;[0.0, 25000.0[;*
908.0;[0.0, 10000.0[;[0.0, 25000.0[;*
908.45;[0.0, 10000.0[;[0.0, 25000.0[;*
910.0;[0.0, 10000.0[;[0.0, 25000.0[;*
910.82;[0.0, 10000.0[;[0.0, 25000.0[;*
912.0;[0.0, 10000.0[;[0.0, 25000.0[;*
915.0;[0.0, 10000.0[;[0.0, 25000.0[;*
916.0;[0.0, 10000.0[;[0.0, 25000.0[;*
916.3;[0.0, 10000.0[;[0.0, 25000.0[;*
920.0;[0.0, 10000.0[;[0.0, 25000.0[;*
923.0;[0.0, 10000.0[;[0.0, 25000.0[;*
924.0;[0.0, 10000.0[;[0.0, 25000.0[;*
924.69;[0.0, 10000.0[;[0.0, 25000.0[;*
925.12;[0.0, 10000.0[;[0.0, 25000.0[;*
926.78;[0.0, 10000.0[;[0.0, 25000.0[;*
927.25;[0.0, 10000.0[;[0.0, 25000.0[;*
928.0;[0.0, 10000.0[;[0.0, 25000.0[;*
928.92;[0.0, 10000.0[;[0.0, 25000.0[;*
931.0;[0.0, 10000.0[;[0.0, 25000.0[;*
935.0;[0.0, 10000.0[;[0.0, 25000.0[;*
936.0;[0.0, 10000.0[;[0.0, 25000.0[;*
937.0;[0.0, 10000.0[;[0.0, 25000.0[;*
939.98;[0.0, 10000.0[;[0.0, 25000.0[;*
940.0;[0.0, 10000.0[;[0.0, 25000.0[;*
940.85;[0.0, 10000.0[;[0.0, 25000.0[;*
941.0;[0.0, 10000.0[;[0.0, 25000.0[;*
944.0;[0.0, 10000.0[;[0.0, 25000.0[;*
945.0;[0.0, 10000.0[;[0.0, 25000.0[;*
946.0;[0.0, 10000.0[;[0.0, 25000.0[;*
946.34;[0.0, 10000.0[;[0.0, 25000.0[;*
947.1;[0.0, 10000.0[;[0.0, 25000.0[;*
947.33;[0.0, 10000.0[;[0.0, 25000.0[;*
948.2;[0.0, 10000.0[;[0.0, 25000.0[;*
950.0;[0.0, 10000.0[;[0.0, 25000.0[;*
951.81;[0.0, 10000.0[;[0.0, 25000.0[;*
952.0;[0.0, 10000.0[;[0.0, 25000.0[;*
953.0;[0.0, 10000.0[;[0.0, 25000.0[;*
953.87;[0.0, 10000.0[;[0.0, 25000.0[;*
954.0;[0.0, 10000.0[;[0.0, 25000.0[;*
957.0;[0.0, 10000.0[;[0.0, 25000.0[;*
